P_maculatus,Offspring,Parent,Sample_group,Parent_sample_date,Parent_sample_FL_mm,Juvenile_spawn_date
1,Plec06_A06,Plec02_D02,C,24/11/2007,630.0000,07/02/2008
2,Plec06_B02,Plec21_D07,C,11/05/2012,529.7600,30/07/2008
3,Plec06_B12,Plec04_A11,C,28/02/2009,434.1577,30/10/2008
4,Plec06_C10,Plec53_A12,C,06/08/2013,481.9589,02/08/2008
5,Plec07_A02,Plec02_D01,C,23/11/2007,710.0000,04/10/2007
6,Plec07_A03,Plec54_A06,C,06/08/2013,625.3623,25/01/2008
7,Plec07_A07,Plec02_H06,C,28/11/2007,390.0000,24/11/2007
8,Plec07_A08,Plec01_F10,C,NA,NA,06/02/2008
9,Plec07_A09,Plec03_B12,C,21/01/2008,441.0000,16/01/2008
10,Plec07_B11,Plec01_D03,C,30/01/2008,416.0000,24/10/2007
11,Plec07_C01,Plec04_D01,C,03/03/2009,386.3566,30/10/2007
12,Plec07_D03,Plec24_A03,C,25/05/2012,625.3623,19/11/2007
13,Plec07_D05,Plec05_D12,C,29/11/2007,522.0000,19/01/2008
14,Plec07_E11,Plec21_E04,C,13/05/2012,577.5612,01/02/2008
15,Plec07_F11,Plec03_D12,C,25/01/2008,610.0000,17/01/2008
16,Plec07_H06,Plec30_C03,C,03/06/2012,579.0000,25/11/2007
17,Plec07_H12,Plec05_E03,C,31/01/2008,394.0000,25/01/2008
18,Plec08_B02,Plec31_E04,C,27/05/2012,599.0000,12/02/2008
19,Plec08_B05,Plec30_A07,C,02/06/2012,603.0000,11/02/2008
20,Plec08_C01,Plec02_A10,C,30/11/2007,650.0000,24/02/2008
21,Plec08_D03,Plec04_B01,C,28/02/2009,338.5554,22/01/2008
22,Plec08_D09,Plec01_H04,C,23/01/2008,551.0000,07/01/2008
23,Plec08_D10,Plec02_F03,C,21/01/2008,525.0000,05/02/2008
24,Plec08_D11,Plec06_H03,C,28/11/2007,400.0000,31/01/2008
25,Plec08_E03,Plec04_F03,C,03/03/2009,386.3566,20/01/2008
26,Plec08_E07,Plec04_A10,C,28/02/2009,338.5554,27/12/2007
27,Plec08_E11,Plec02_E04,C,NA,NA,29/01/2008
28,Plec08_E12,Plec01_G02,C,21/11/2007,516.0000,15/12/2007
29,Plec08_F03,Plec03_H06,C,28/01/2008,380.0000,23/12/2007
30,Plec08_H01,Plec28_C06,C,20/05/2012,520.1998,21/03/2008
31,Plec09_A12,Plec05_B01,C,27/01/2008,386.0000,06/06/2008
32,Plec09_B02,Plec04_E05,C,03/03/2009,338.5554,28/08/2008
33,Plec09_B03,Plec01_F03,C,29/01/2008,555.0000,22/11/2008
34,Plec09_C12,Plec03_D03,C,21/01/2008,403.0000,09/12/2008
35,Plec09_D10,Plec02_F07,C,24/11/2007,690.0000,13/01/2009
36,Plec09_D12,Plec21_B07,C,10/05/2012,481.9589,25/11/2008
37,Plec09_E04,Plec24_B07,C,26/05/2012,481.9589,10/12/2008
38,Plec09_E08,Plec04_G09,C,04/03/2009,434.1577,21/12/2008
39,Plec09_G02,Plec06_F03,C,29/01/2008,485.0000,07/06/2008
40,Plec09_G06,Plec03_G02,C,02/02/2008,NA,13/05/2008
41,Plec09_H10,Plec03_G02,C,02/02/2008,NA,07/06/2008
42,Plec10_A10,Plec23_D07,C,21/05/2012,481.9589,20/12/2008
43,Plec10_B08,Plec27_D10,C,10/05/2012,673.1635,30/12/2008
44,Plec10_C09,Plec01_F06,C,30/01/2008,465.0000,24/03/2008
45,Plec10_C12,Plec05_H02,C,29/11/2007,490.0000,23/06/2008
46,Plec10_D07,Plec24_A10,C,25/05/2012,673.1635,23/07/2008
47,Plec10_E01,Plec05_E01,C,01/02/2008,451.0000,16/08/2008
48,Plec10_E04,Plec05_G12,C,30/11/2007,418.0000,04/01/2009
49,Plec10_F03,Plec05_E05,C,01/02/2008,515.0000,24/07/2008
50,Plec10_F06,Plec03_G12,C,NA,NA,21/11/2008
51,Plec10_F09,Plec05_C03,C,01/02/2008,545.0564,11/12/2008
52,Plec10_G02,Plec31_D09,C,27/05/2012,658.0000,13/07/2008
53,Plec10_G11,Plec30_B12,C,03/06/2012,585.0000,13/07/2008
54,Plec10_H07,Plec03_B03,C,26/01/2008,388.0000,22/08/2008
55,Plec11_A01,Plec01_A09,C,30/01/2008,332.8193,24/07/2008
56,Plec11_A03,Plec29_H06,C,19/05/2012,720.9646,20/07/2008
57,Plec11_C01,Plec01_A03,C,30/01/2008,504.0000,20/05/2008
58,Plec11_D11,Plec31_D12,C,27/05/2012,608.0000,30/04/2008
59,Plec11_E04,Plec30_A02,C,27/05/2012,630.0000,07/06/2008
60,Plec11_E06,Plec03_F07,C,28/01/2008,376.0000,09/05/2008
61,Plec11_F05,Plec05_F05,C,27/01/2008,313.0000,02/05/2008
62,Plec11_H01,Plec05_E03,C,31/01/2008,394.0000,28/10/2008
63,Plec22_F08,Plec04_F07,C,04/03/2009,386.3566,NA
64,Plec23_D08,Plec03_E02,C,30/11/2007,300.0000,NA
65,Plec28_F12,Plec04_E02,C,03/03/2009,481.9589,NA
66,Plec28_G09,Plec31_E03,C,27/05/2012,489.0000,NA
67,Plec29_H08,Plec23_G11,C,25/05/2012,529.7600,NA
68,Plec31_H06,Plec28_F11,C,26/05/2012,501.0793,NA
69,Plec41_D05,Plec23_G08,D,25/05/2012,481.9589,17/03/2012
70,Plec41_E05,Plec31_C04,D,02/06/2012,467.0000,05/01/2012
71,Plec41_E08,Plec05_A01,D,26/01/2008,486.0000,28/12/2011
72,Plec41_E10,Plec01_D08,D,20/01/2008,532.0000,10/10/2011
73,Plec41_F05,Plec24_A12,D,25/05/2012,577.5612,12/03/2012
74,Plec41_G06,Plec22_G07,D,19/05/2012,405.4771,22/09/2011
75,Plec42_A04,Plec46_A02,D,26/05/2012,577.5612,18/09/2011
76,Plec42_A06,Plec03_H03,D,25/01/2008,530.0000,07/11/2011
77,Plec42_A09,Plec06_F06,D,25/01/2008,465.0000,10/02/2012
78,Plec42_A11,Plec02_F12,D,26/01/2008,660.0000,06/01/2012
79,Plec42_A12,Plec24_A07,D,25/05/2012,434.1577,14/01/2012
80,Plec42_C01,Plec24_B09,D,26/05/2012,434.1577,21/11/2011
81,Plec42_D04,Plec02_E03,D,24/11/2007,700.0000,23/02/2012
82,Plec42_D06,Plec23_A07,D,20/05/2012,434.1577,04/03/2012
83,Plec42_D07,Plec24_A08,D,25/05/2012,625.3623,03/12/2011
84,Plec42_F08,Plec03_G06,D,26/01/2008,417.0000,11/04/2012
85,Plec42_G01,Plec03_E07,D,29/11/2007,295.0000,12/01/2012
86,Plec42_G06,Plec04_G11,D,04/03/2009,481.9589,16/11/2011
87,Plec42_H02,Plec24_A04,D,25/05/2012,481.9589,24/03/2012
88,Plec43_A05,Plec04_F03,D,03/03/2009,386.3566,25/10/2011
89,Plec43_A06,Plec03_H03,D,25/01/2008,530.0000,24/10/2011
90,Plec43_B06,Plec05_C02,D,21/01/2008,367.0000,27/10/2011
91,Plec43_C03,Plec28_A07,D,19/05/2012,386.3566,01/02/2012
92,Plec43_C07,Plec21_D04,D,11/05/2012,434.1577,15/03/2012
93,Plec43_D02,Plec04_F11,D,04/03/2009,386.3566,28/01/2012
94,Plec43_F06,Plec28_A11,D,19/05/2012,415.0373,21/01/2012
95,Plec43_F12,Plec27_D11,D,10/05/2012,577.5612,03/03/2012
96,Plec44_H03,Plec04_G07,D,04/03/2009,338.5554,01/02/2012
97,Plec44_H09,Plec02_F07,D,24/11/2007,690.0000,11/02/2012
98,Plec45_A02,Plec24_E01,D,28/05/2012,529.7600,25/03/2012
99,Plec45_A03,Plec54_A02,D,05/08/2013,386.3566,16/03/2012
100,Plec45_A07,Plec02_A04,D,30/11/2007,640.0000,08/08/2011
101,Plec45_A12,Plec05_G07,D,22/11/2007,325.0000,22/09/2011
102,Plec45_B01,Plec24_E09,D,28/05/2012,386.3566,22/10/2011
103,Plec45_B08,Plec24_E07,D,28/05/2012,443.7180,14/10/2011
104,Plec45_C05,Plec31_A04,D,02/06/2012,552.0000,14/04/2012
105,Plec45_D07,Plec46_A05,D,28/05/2012,315.0000,29/10/2011
106,Plec45_D08,Plec23_G07,D,25/05/2012,529.7600,30/11/2011
107,Plec45_D09,Plec04_H07,D,04/03/2009,529.7600,08/01/2012
108,Plec45_E01,Plec31_E02,D,27/05/2012,615.0000,22/04/2012
109,Plec45_F06,Plec30_C08,D,03/06/2012,550.0000,12/02/2012
110,Plec45_G08,Plec23_A12,D,20/05/2012,529.7600,12/03/2012
111,Plec45_H01,Plec21_E04,D,13/05/2012,577.5612,12/11/2011
112,Plec45_H03,Plec21_B07,D,10/05/2012,481.9589,22/12/2011
113,Plec48_H03,Plec30_D09,D,03/06/2012,582.0000,04/11/2011
114,Plec48_H08,Plec02_E09,D,21/01/2008,656.0000,07/04/2012
115,Plec51_C06,Plec05_A04,D,02/02/2008,557.0000,15/02/2013
116,Plec51_C09,Plec04_A10,D,28/02/2009,338.5554,23/01/2013
117,Plec51_D02,Plec24_G05,D,02/06/2012,529.7600,02/01/2013
118,Plec51_E02,Plec23_D07,D,21/05/2012,481.9589,03/02/2013
119,Plec51_E05,Plec01_A05,D,25/01/2008,376.0000,23/02/2013
120,Plec51_E06,Plec01_A08,D,30/01/2008,415.0000,02/02/2013
121,Plec51_H02,Plec21_E04,D,13/05/2012,577.5612,20/04/2013
122,Plec51_H07,Plec04_B03,D,28/02/2009,386.3566,19/10/2012
123,Plec52_A03,Plec28_D06,D,21/05/2012,386.3566,29/12/2012
124,Plec52_A05,Plec24_F04,D,28/05/2012,443.7180,15/02/2013
125,Plec52_B06,Plec24_A10,D,25/05/2012,673.1635,11/04/2013